
          t           a           e           i          Om           u           w        teta 
     132.500    7050.172       0.006       1.720       1.316       5.701       0.564       5.136
     132.600    7050.234       0.006       1.720       1.316       5.701       0.564       5.137
     132.700    7050.297       0.006       1.720       1.316       5.701       0.564       5.137
     132.800    7050.360       0.006       1.720       1.316       5.701       0.564       5.137
     132.900    7050.423       0.007       1.720       1.316       5.701       0.564       5.137
     133.000    7050.486       0.007       1.720       1.316       5.701       0.564       5.137
     133.100    7050.549       0.007       1.720       1.316       5.701       0.564       5.138
     133.200    7050.611       0.007       1.720       1.316       5.701       0.563       5.138
     133.300    7050.674       0.007       1.720       1.316       5.702       0.563       5.138
     133.400    7050.738       0.007       1.720       1.316       5.702       0.563       5.138
     133.500    7050.801       0.007       1.720       1.316       5.702       0.563       5.139
     133.600    7050.864       0.007       1.720       1.316       5.702       0.563       5.139
     133.700    7050.927       0.007       1.720       1.316       5.702       0.563       5.139
     133.800    7050.990       0.007       1.720       1.316       5.702       0.563       5.139
     133.900    7051.053       0.007       1.720       1.316       5.702       0.563       5.140
     134.000    7051.117       0.007       1.720       1.316       5.702       0.562       5.140
     134.100    7051.180       0.007       1.720       1.316       5.702       0.562       5.140
     134.200    7051.243       0.007       1.720       1.316       5.702       0.562       5.140
     134.300    7051.307       0.007       1.720       1.316       5.703       0.562       5.140
     134.400    7051.370       0.007       1.720       1.316       5.703       0.562       5.141
     134.500    7051.434       0.007       1.720       1.316       5.703       0.562       5.141
     134.600    7051.497       0.007       1.720       1.316       5.703       0.562       5.141
     134.700    7051.561       0.007       1.720       1.316       5.703       0.562       5.141
     134.800    7051.624       0.007       1.720       1.316       5.703       0.562       5.142
     134.900    7051.688       0.007       1.720       1.316       5.703       0.561       5.142
     135.000    7051.752       0.007       1.720       1.316       5.703       0.561       5.142
     135.100    7051.815       0.007       1.720       1.315       5.703       0.561       5.142
     135.200    7051.879       0.007       1.720       1.315       5.703       0.561       5.142
     135.300    7051.943       0.007       1.720       1.315       5.704       0.561       5.143
     135.400    7052.007       0.007       1.720       1.315       5.704       0.561       5.143
     135.500    7052.071       0.007       1.720       1.315       5.704       0.561       5.143
     135.600    7052.134       0.007       1.720       1.315       5.704       0.561       5.143
     135.700    7052.198       0.007       1.720       1.315       5.704       0.560       5.144
     135.800    7052.262       0.007       1.720       1.315       5.704       0.560       5.144
     135.900    7052.326       0.007       1.720       1.315       5.704       0.560       5.144
     136.000    7052.390       0.007       1.720       1.315       5.704       0.560       5.144
     136.100    7052.455       0.007       1.721       1.315       5.704       0.560       5.144
     136.200    7052.519       0.007       1.721       1.315       5.705       0.560       5.145
     136.300    7052.583       0.007       1.721       1.315       5.705       0.560       5.145
     136.400    7052.647       0.007       1.721       1.315       5.705       0.560       5.145
     136.500    7052.711       0.007       1.721       1.315       5.705       0.559       5.145
     136.600    7052.776       0.007       1.721       1.315       5.705       0.559       5.146
     136.700    7052.840       0.007       1.721       1.315       5.705       0.559       5.146
     136.800    7052.904       0.007       1.721       1.315       5.705       0.559       5.146
     136.900    7052.969       0.007       1.721       1.315       5.705       0.559       5.146
     137.000    7053.033       0.007       1.721       1.315       5.705       0.559       5.147
     137.100    7053.098       0.007       1.721       1.315       5.705       0.559       5.147
     137.200    7053.162       0.007       1.721       1.315       5.706       0.559       5.147
     137.300    7053.227       0.007       1.721       1.315       5.706       0.558       5.147
     137.400    7053.292       0.007       1.721       1.315       5.706       0.558       5.147
     137.500    7053.356       0.007       1.721       1.315       5.706       0.558       5.148
     137.600    7053.421       0.007       1.721       1.315       5.706       0.558       5.148
     137.700    7053.486       0.007       1.721       1.315       5.706       0.558       5.148
     137.800    7053.550       0.007       1.721       1.315       5.706       0.558       5.148
     137.900    7053.615       0.007       1.721       1.315       5.706       0.558       5.149
     138.000    7053.680       0.007       1.721       1.315       5.706       0.558       5.149
     138.100    7053.745       0.008       1.721       1.315       5.707       0.558       5.149
     138.200    7053.810       0.008       1.721       1.315       5.707       0.557       5.149
     138.300    7053.875       0.008       1.721       1.315       5.707       0.557       5.149
     138.400    7053.940       0.008       1.721       1.315       5.707       0.557       5.150
     138.500    7054.005       0.008       1.721       1.315       5.707       0.557       5.150
     138.600    7054.070       0.008       1.721       1.315       5.707       0.557       5.150
     138.700    7054.135       0.008       1.721       1.315       5.707       0.557       5.150
     138.800    7054.200       0.008       1.721       1.315       5.707       0.557       5.151
     138.900    7054.265       0.008       1.721       1.315       5.707       0.557       5.151
     139.000    7054.331       0.008       1.721       1.315       5.707       0.556       5.151
     139.100    7054.396       0.008       1.721       1.315       5.708       0.556       5.151
     139.200    7054.461       0.008       1.721       1.315       5.708       0.556       5.151
     139.300    7054.527       0.008       1.721       1.315       5.708       0.556       5.152
     139.400    7054.592       0.008       1.721       1.315       5.708       0.556       5.152
     139.500    7054.658       0.008       1.721       1.315       5.708       0.556       5.152
     139.600    7054.723       0.008       1.722       1.315       5.708       0.556       5.152
     139.700    7054.789       0.008       1.722       1.315       5.708       0.556       5.153
     139.800    7054.854       0.008       1.722       1.315       5.708       0.555       5.153
     139.900    7054.920       0.008       1.722       1.315       5.708       0.555       5.153
     140.000    7054.985       0.008       1.722       1.315       5.709       0.555       5.153
     140.100    7055.051       0.008       1.722       1.315       5.709       0.555       5.154
     140.200    7055.117       0.008       1.722       1.315       5.709       0.555       5.154
     140.300    7055.182       0.008       1.722       1.315       5.709       0.555       5.154
     140.400    7055.248       0.008       1.722       1.315       5.709       0.555       5.154
     140.500    7055.314       0.008       1.722       1.315       5.709       0.555       5.154
     140.600    7055.380       0.008       1.722       1.314       5.709       0.555       5.155
     140.700    7055.446       0.008       1.722       1.314       5.709       0.554       5.155
