
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       125.8     911.149    5802.625   -3867.127       1.834       3.897       6.217        6845    0.074093
       125.9     911.332    5803.015   -3866.505       1.834       3.897       6.218        6844    0.074380
       126.0     911.516    5803.404   -3865.883       1.834       3.896       6.218        6844    0.074667
       126.1     911.699    5803.794   -3865.261       1.833       3.896       6.219        6843    0.074954
       126.2     911.882    5804.183   -3864.639       1.833       3.895       6.219        6843    0.075241
       126.3     912.065    5804.573   -3864.017       1.833       3.895       6.220        6842    0.075528
       126.4     912.249    5804.962   -3863.395       1.832       3.894       6.220        6841    0.075814
       126.5     912.432    5805.352   -3862.773       1.832       3.894       6.221        6841    0.076101
       126.6     912.615    5805.741   -3862.151       1.832       3.894       6.221        6840    0.076388
       126.7     912.798    5806.131   -3861.529       1.832       3.893       6.222        6840    0.076675
       126.8     912.982    5806.520   -3860.907       1.831       3.893       6.222        6839    0.076962
       126.9     913.165    5806.909   -3860.285       1.831       3.892       6.223        6838    0.077249
       127.0     913.348    5807.298   -3859.662       1.831       3.892       6.223        6838    0.077536
       127.1     913.531    5807.688   -3859.040       1.831       3.891       6.224        6837    0.077823
       127.2     913.714    5808.077   -3858.418       1.830       3.891       6.224        6837    0.078110
       127.3     913.897    5808.466   -3857.795       1.830       3.891       6.225        6836    0.078397
       127.4     914.080    5808.855   -3857.173       1.830       3.890       6.225        6835    0.078683
       127.5     914.263    5809.244   -3856.550       1.830       3.890       6.226        6835    0.078970
       127.6     914.446    5809.633   -3855.927       1.829       3.889       6.226        6834    0.079257
       127.7     914.629    5810.022   -3855.305       1.829       3.889       6.227        6834    0.079544
       127.8     914.812    5810.411   -3854.682       1.829       3.888       6.227        6833    0.079831
       127.9     914.995    5810.799   -3854.059       1.829       3.888       6.228        6832    0.080118
       128.0     915.177    5811.188   -3853.436       1.828       3.888       6.228        6832    0.080405
       128.1     915.360    5811.577   -3852.814       1.828       3.887       6.229        6831    0.080692
       128.2     915.543    5811.966   -3852.191       1.828       3.887       6.230        6831    0.080978
       128.3     915.726    5812.354   -3851.568       1.828       3.886       6.230        6830    0.081265
       128.4     915.909    5812.743   -3850.945       1.827       3.886       6.231        6829    0.081552
       128.5     916.091    5813.131   -3850.322       1.827       3.885       6.231        6829    0.081839
       128.6     916.274    5813.520   -3849.698       1.827       3.885       6.232        6828    0.082126
       128.7     916.457    5813.908   -3849.075       1.826       3.885       6.232        6828    0.082413
       128.8     916.639    5814.297   -3848.452       1.826       3.884       6.233        6827    0.082700
       128.9     916.822    5814.685   -3847.829       1.826       3.884       6.233        6826    0.082987
       129.0     917.004    5815.074   -3847.205       1.826       3.883       6.234        6826    0.083273
       129.1     917.187    5815.462   -3846.582       1.825       3.883       6.234        6825    0.083560
       129.2     917.370    5815.850   -3845.959       1.825       3.882       6.235        6825    0.083847
       129.3     917.552    5816.238   -3845.335       1.825       3.882       6.235        6824    0.084134
       129.4     917.735    5816.627   -3844.712       1.825       3.881       6.236        6823    0.084421
       129.5     917.917    5817.015   -3844.088       1.824       3.881       6.236        6823    0.084708
       129.6     918.099    5817.403   -3843.464       1.824       3.881       6.237        6822    0.084994
       129.7     918.282    5817.791   -3842.841       1.824       3.880       6.237        6822    0.085281
       129.8     918.464    5818.179   -3842.217       1.824       3.880       6.238        6821    0.085568
       129.9     918.647    5818.567   -3841.593       1.823       3.879       6.238        6820    0.085855
       130.0     918.829    5818.955   -3840.969       1.823       3.879       6.239        6820    0.086142
       130.1     919.011    5819.342   -3840.346       1.823       3.878       6.239        6819    0.086429
       130.2     919.193    5819.730   -3839.722       1.823       3.878       6.240        6819    0.086715
       130.3     919.376    5820.118   -3839.098       1.822       3.878       6.240        6818    0.087002
       130.4     919.558    5820.506   -3838.474       1.822       3.877       6.241        6817    0.087289
       130.5     919.740    5820.894   -3837.849       1.822       3.877       6.241        6817    0.087576
       130.6     919.922    5821.281   -3837.225       1.822       3.876       6.242        6816    0.087863
       130.7     920.104    5821.669   -3836.601       1.821       3.876       6.242        6816    0.088150
